Pays,Dimension fractale,durée
LUX,1.656,2
FLK,1.488,2
NOR,1.481,25
DNK,1.453,2
GRL,1.433,246
CHL,1.426,48
GNB,1.422,2
GLP,1.407,2
ALA,1.405,2
CYP,1.395,2
PHL,1.371,3
BGD,1.359,2
ZNC,1.355,2
CUB,1.354,3
FRO,1.342,2
GRC,1.337,3
SGP,1.331,2
IMN,1.331,2
SJM,1.331,3
HRV,1.312,2
ISL,1.298,2
VUT,1.297,2
BRN,1.295,2
IRL,1.291,3
PAN,1.291,2
EST,1.29,2
GBR,1.286,4
KOR,1.283,2
TTO,1.279,2
MDV,1.274,2
MMR,1.269,5
SLE,1.265,2
GMB,1.263,2
FIN,1.262,4
CHE,1.26,2
USA,1.256,434
MNE,1.249,2
SWE,1.248,8
ERI,1.242,3
HTI,1.24,2
BLZ,1.235,2
TLS,1.232,3
NLD,1.227,2
IDN,1.224,14
ISR,1.219,3
WSM,1.213,2
AUS,1.212,100
AZE,1.209,3
MYS,1.208,2
XKO,1.201,2
BEL,1.2,2
KWT,1.199,2
BHS,1.197,2
DJI,1.196,2
JPN,1.195,5
THA,1.191,3
CRI,1.187,2
DEU,1.185,2
BIH,1.185,2
PRK,1.184,2
REU,1.184,2
TJK,1.181,2
NZL,1.18,24
MYT,1.175,2
TUR,1.174,4
QAT,1.17,2
DMA,1.17,2
LKA,1.169,2
FRA,1.166,3
DOM,1.164,2
ATF,1.161,2
SLB,1.158,2
CHN,1.156,121
AND,1.155,2
GGY,1.155,2
SLV,1.152,2
XCA,1.149,2
PNG,1.148,3
ARE,1.147,2
ARM,1.147,2
LAO,1.146,2
ITA,1.144,2
UKR,1.141,3
TGO,1.141,2
MDG,1.14,3
AUT,1.139,2
VNM,1.138,3
SVN,1.136,2
RWA,1.136,2
MDA,1.136,2
FJI,1.135,4
ALB,1.135,2
SUR,1.133,2
POL,1.129,2
LSO,1.128,2
GIN,1.126,2
NGA,1.126,2
OMN,1.125,2
LTU,1.125,2
AFG,1.124,3
GAB,1.124,2
GEO,1.123,2
TUN,1.122,2
BDI,1.122,2
KHM,1.122,2
TCA,1.121,2
SRB,1.12,2
MEX,1.12,25
PAK,1.118,2
CIV,1.118,2
SEN,1.117,2
VCT,1.116,2
ECU,1.115,2
UZB,1.115,2
ARG,1.114,14
SAU,1.113,5
MWI,1.113,2
COG,1.112,2
KAZ,1.111,4
LBR,1.111,3
LVA,1.111,2
MKD,1.11,2
SSD,1.11,2
BHR,1.11,2
SPM,1.109,2
IND,1.109,25
CZE,1.107,2
GUY,1.106,2
UGA,1.102,2
BTN,1.101,2
PER,1.101,4
TZA,1.1,2
IRN,1.097,3
MLT,1.097,3
ZWE,1.096,3
MOZ,1.095,3
CAF,1.094,2
GTM,1.092,3
VEN,1.092,3
NIC,1.091,3
EGY,1.091,2
KGZ,1.09,2
BEN,1.09,2
NPL,1.087,3
ZMB,1.086,2
TKM,1.086,2
YEM,1.084,2
COL,1.083,4
MLI,1.082,2
CMR,1.081,2
MAR,1.08,2
HND,1.08,2
HUN,1.08,2
PRY,1.08,2
GHA,1.076,2
NAM,1.075,2
BOL,1.075,2
VIR,1.074,2
BRA,1.074,46
BLR,1.073,2
MTQ,1.073,2
BGR,1.068,2
IRQ,1.067,2
GUF,1.066,2
COD,1.065,3
URY,1.064,3
KEN,1.063,2
JOR,1.063,2
SVK,1.062,2
BFA,1.061,2
LBN,1.06,2
SDN,1.06,2
ESP,1.06,3
KNA,1.058,2
DZA,1.057,2
ZAF,1.052,3
CPV,1.049,2
GNQ,1.045,2
AGO,1.045,2
PRT,1.045,2
NER,1.044,2
NCL,1.042,2
JEY,1.042,2
LBY,1.041,2
BWA,1.041,2
MRT,1.039,2
TCD,1.037,2
COM,1.036,2
ROU,1.033,2
PRI,1.032,2
ATG,1.032,3
MNG,1.03,2
ETH,1.021,2
SOM,1.019,2
SYR,1.019,2
ESH,1.017,2
JAM,1.012,2
PSE,1.005,2
BRB,1.0,3
HMD,1.0,2
SWZ,0.9792,2
STP,0.9468,2
TWN,0.9445,2
VGB,0.9422,2
ABW,0.9422,2
GUM,0.9422,3
CUW,0.9422,2
SGS,0.912,2
XAD,0.8779,2
CXR,0.8755,2
NIU,0.8755,2
LCA,0.87,2
GRD,0.8492,2
MHL,0.8467,2
TON,0.8465,2
BMU,0.834,2
MUS,0.8218,2
BVT,0.7966,2
LIE,0.7966,2
CCK,0.7966,2
BLM,0.7966,2
PLW,0.783,2
PYF,0.775,2
CYM,0.7667,2
IOT,0.7585,2
MAF,0.7,2
SXM,0.7,2
AIA,0.7,2
SMR,0.7,2
SYC,0.6584,2
KIR,0.6319,4
WLF,0.6077,2
XPI,0.6038,2
MSR,0.6,2
FSM,0.594,2
SHN,0.5619,2
TKL,0.5492,2
ASM,0.524,2
COK,0.5127,2
MNP,0.506,2
TUV,0.4786,3
BES,0.4719,2
XSP,0.4425,2
NFK,0.3,2
UMI,0.25,3
PCN,0.1456,2
MCO,-0.0,2
XCL,-0.0,2
GIB,-0.0,2
VAT,-0.0,2
NRU,-0.0,2
