Pays,Dimension fractale,durée
NOR,1.481,29
GRL,1.433,315
CHL,1.426,55
PHL,1.371,4
CAN,1.335,1080
SJM,1.331,4
BGD,1.314,5
KOR,1.311,4
CUB,1.309,7
IRL,1.304,13
FLK,1.292,13
GBR,1.286,5
GRC,1.274,4
MMR,1.269,6
DNK,1.268,7
HRV,1.268,4
FIN,1.262,6
USA,1.256,481
SWE,1.248,10
ISL,1.241,5
MDV,1.236,3
PRK,1.226,4
IDN,1.224,19
XPI,1.223,3
RUS,1.213,1299
AUS,1.212,115
LKA,1.21,3
MYS,1.208,3
GNB,1.197,10
JPN,1.195,7
EST,1.192,8
THA,1.191,4
PAN,1.189,9
SLB,1.183,3
NZL,1.18,28
VUT,1.175,3
TUR,1.174,4
ASM,1.169,2
TKL,1.168,3
FRA,1.166,4
BHS,1.164,3
ATF,1.161,3
ALA,1.158,21
ARE,1.157,4
DEU,1.156,4
CHN,1.156,124
ERI,1.154,3
CRI,1.154,3
XCA,1.149,3
PNG,1.148,4
MDA,1.148,3
ITA,1.144,3
GIN,1.142,3
UKR,1.141,4
MDG,1.14,4
SLE,1.139,3
VNM,1.138,4
FJI,1.135,5
TUN,1.133,3
UZB,1.129,3
MWI,1.128,3
NGA,1.126,5
BLZ,1.126,3
OMN,1.125,3
AFG,1.124,2
MEX,1.12,27
PAK,1.118,3
QAT,1.114,3
ARG,1.114,16
SAU,1.113,6
PRI,1.113,4
ATG,1.112,3
COG,1.112,3
KAZ,1.111,5
IND,1.109,27
NLD,1.107,3
HTI,1.105,6
TCA,1.102,5
SRB,1.102,3
PER,1.101,5
ZWE,1.101,3
STP,1.1,3
TZA,1.1,3
BHR,1.1,7
CPV,1.099,3
GAB,1.099,3
NIC,1.098,4
SLV,1.097,8
LTU,1.097,4
IRN,1.097,4
AUT,1.096,4
HND,1.096,3
KWT,1.096,4
BLR,1.095,4
MOZ,1.095,4
POL,1.094,3
KGZ,1.094,3
ECU,1.094,3
VEN,1.092,4
LAO,1.091,3
CIV,1.091,3
EGY,1.091,3
TJK,1.09,3
GUY,1.088,3
ZMB,1.086,3
LBR,1.085,3
COL,1.083,5
MLI,1.082,3
WLF,1.082,3
YEM,1.082,3
VCT,1.082,3
HUN,1.081,4
CMR,1.081,3
KHM,1.079,3
DOM,1.079,5
BEN,1.078,3
CAF,1.078,3
URY,1.078,3
CZE,1.077,4
CHE,1.076,5
BOL,1.075,3
VIR,1.075,3
NAM,1.075,3
BRA,1.074,50
ROU,1.072,4
BFA,1.07,3
GHA,1.067,3
JAM,1.067,4
TKM,1.067,3
NPL,1.067,4
COD,1.065,4
SUR,1.064,2
KEN,1.063,3
LSO,1.062,4
SDN,1.06,3
TTO,1.06,3
NCL,1.06,3
CCK,1.06,4
ESP,1.06,4
SSD,1.059,3
DZA,1.057,3
BEL,1.056,4
LBN,1.055,4
AZE,1.055,3
MAR,1.055,3
ZAF,1.052,4
RWA,1.052,4
BDI,1.051,4
GUF,1.05,3
DJI,1.05,3
ISR,1.05,3
GTM,1.049,3
GEO,1.046,3
LVA,1.046,3
IRQ,1.046,3
SEN,1.046,3
PRT,1.045,3
ALB,1.045,3
MNE,1.045,4
AGO,1.045,2
ARM,1.045,3
NER,1.044,3
GLP,1.043,8
BIH,1.042,16
BGR,1.041,6
UGA,1.041,3
LBY,1.041,3
BWA,1.041,3
PRY,1.041,3
CYM,1.04,3
BRN,1.04,4
SVN,1.04,4
MRT,1.039,3
FRO,1.039,4
SYR,1.038,3
GNQ,1.038,3
TCD,1.037,3
SVK,1.037,3
ESH,1.033,3
GRD,1.033,4
TLS,1.033,3
MTQ,1.032,14
COM,1.031,3
HMD,1.031,4
MNG,1.03,3
TGO,1.029,3
GMB,1.028,3
SGS,1.026,3
IOT,1.024,3
CYP,1.024,5
ZNC,1.023,6
BTN,1.023,4
MKD,1.022,4
CUW,1.022,10
ETH,1.021,3
GGY,1.02,9
SOM,1.019,3
XKO,1.018,4
LUX,1.017,5
JOR,1.017,3
DMA,1.017,7
WSM,1.017,5
LCA,1.014,8
SWZ,1.011,2
VGB,1.011,7
SPM,1.01,6
MLT,1.01,14
SGP,1.009,27
MYT,1.008,10
GUM,1.007,7
REU,1.007,9
SXM,1.006,82
VAT,1.005,3
BMU,1.005,15
KNA,1.005,7
XAD,1.004,4
AIA,1.004,3
GIB,1.003,11
BLM,1.003,183
IMN,1.003,13
JEY,1.003,41
ABW,1.003,16
PSE,1.003,3
BRB,1.002,10
NFK,1.001,14
MAF,1.001,122
BVT,1.001,68
AND,1.001,33
MSR,1.001,18
XCL,1.0,9
NRU,1.0,15
NIU,1.0,12
SMR,1.0,87
LIE,0.9997,12
CXR,0.9994,28
MCO,0.9986,7
TWN,0.9951,3
PLW,0.9375,3
TON,0.9256,3
PCN,0.9074,3
BES,0.8682,3
MHL,0.8467,3
XSP,0.8317,3
MUS,0.8218,3
TUV,0.7904,3
PYF,0.775,3
SYC,0.7225,3
MNP,0.7101,3
KIR,0.6319,5
FSM,0.594,3
SHN,0.5619,3
COK,0.5127,3
UMI,0.25,3
